,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-21,2,17,23,38,60,80,107,134,159,187,222,270,322,384,437,513,574,652,744,828,923,1033,1143,1259,1383,1508,1610,1758,1878,1977,2106,2250,2364,2502,2676,2861,3022,3168,3317,3473,3634,3777,3916,4065,4218,4375,4547,4720,4862,4990,5128,5267,5402,5535,5668,5803,5976,6134,6273,6418,6568,6719,6847,6980,7112,7245,7371,7514,7653,7787,7915,8033,8180,8307,8441,8570,8704,8828,8950,9094,9241,9383,9518,9640,9762,9915,10036,10148,10290,10412,10556,10692,10833,10959,11105,11229,11364,11489,11607,11607
2020-01-22,4,18,34,58,76,105,129,161,195,249,301,353,412,468,549,627,709,773,861,956,1045,1138,1236,1335,1424,1528,1624,1737,1835,1941,2055,2176,2294,2404,2517,2652,2796,2944,3080,3231,3414,3577,3751,3911,4082,4241,4400,4551,4736,4898,5055,5213,5356,5499,5643,5786,5943,6081,6234,6368,6517,6657,6788,6922,7054,7209,7335,7454,7598,7731,7880,8008,8133,8239,8373,8493,8631,8768,8883,8990,9122,9251,9358,9485,9612,9715,9838,9946,10048,10162,10261,10371,10487,10608,10724,10844,10959,11082,11195,11195
2020-01-23,1,12,36,53,76,92,117,149,172,216,253,290,336,401,448,500,560,630,706,765,838,905,979,1056,1112,1180,1255,1361,1445,1528,1615,1707,1802,1892,2006,2122,2250,2355,2469,2568,2686,2814,2926,3038,3158,3283,3407,3519,3659,3768,3895,4028,4148,4270,4393,4512,4620,4750,4861,4974,5079,5192,5308,5429,5558,5674,5773,5897,5999,6112,6250,6375,6483,6605,6727,6844,6958,7094,7201,7319,7427,7535,7641,7772,7880,8005,8136,8245,8362,8464,8578,8696,8818,8927,9034,9135,9267,9356,9474,9474
2020-01-24,6,32,43,57,68,98,119,150,201,249,303,368,432,488,546,603,681,750,816,894,993,1081,1148,1239,1331,1424,1528,1624,1736,1863,1989,2087,2209,2321,2430,2559,2669,2807,2965,3084,3207,3358,3496,3649,3797,3951,4098,4294,4473,4635,4768,4889,5046,5195,5326,5477,5610,5748,5877,6007,6150,6286,6428,6555,6716,6867,7033,7177,7323,7464,7612,7749,7901,8022,8168,8291,8419,8557,8702,8844,8974,9102,9247,9372,9502,9653,9787,9922,10059,10194,10331,10488,10631,10742,10864,10989,11140,11264,11396,11396
2020-01-25,2,5,31,52,79,109,149,193,264,323,374,444,530,601,669,760,871,967,1066,1193,1280,1401,1489,1605,1724,1855,1966,2093,2238,2357,2470,2586,2700,2849,2982,3103,3235,3375,3509,3633,3757,3914,4063,4200,4369,4482,4649,4788,4921,5063,5195,5317,5442,5567,5685,5810,5920,6039,6167,6286,6431,6534,6640,6742,6855,6969,7101,7204,7332,7444,7566,7682,7823,7952,8077,8191,8307,8431,8525,8637,8749,8853,8968,9077,9170,9280,9377,9508,9611,9729,9833,9946,10051,10163,10262,10372,10489,10578,10686,10686
2020-01-26,10,21,41,59,73,99,124,151,172,204,241,280,324,367,420,460,507,555,617,677,750,823,890,951,1049,1155,1256,1394,1486,1587,1693,1801,1902,1993,2110,2234,2358,2469,2602,2727,2848,2990,3121,3222,3354,3511,3661,3812,3960,4072,4193,4340,4492,4638,4783,4918,5034,5172,5326,5456,5605,5752,5901,6033,6200,6355,6482,6625,6759,6883,7000,7148,7273,7404,7544,7678,7800,7931,8060,8229,8367,8515,8650,8765,8906,9038,9164,9313,9442,9574,9720,9841,9953,10064,10183,10307,10414,10528,10655,10655
2020-01-27,4,23,45,74,103,136,167,192,241,290,334,381,451,520,601,691,778,874,969,1081,1180,1286,1390,1499,1622,1744,1870,2011,2161,2298,2452,2599,2760,2897,3030,3160,3334,3494,3671,3828,3984,4110,4294,4456,4620,4801,4975,5144,5304,5473,5622,5775,5928,6100,6287,6450,6627,6778,6935,7074,7211,7331,7498,7646,7784,7919,8062,8198,8329,8480,8602,8728,8871,8995,9121,9238,9354,9478,9584,9710,9819,9936,10061,10179,10283,10408,10505,10640,10763,10890,11002,11123,11233,11357,11457,11563,11670,11780,11888,11888
2020-01-28,6,14,32,50,70,95,125,146,174,199,238,284,330,390,452,494,547,610,679,742,814,877,945,1021,1098,1177,1275,1358,1449,1536,1624,1729,1831,1939,2029,2139,2260,2382,2491,2628,2779,2921,3079,3201,3365,3512,3630,3760,3881,3992,4118,4230,4356,4492,4595,4721,4823,4941,5062,5181,5319,5451,5569,5695,5828,5953,6059,6177,6293,6426,6558,6693,6813,6920,7054,7171,7289,7396,7513,7636,7748,7856,7968,8087,8214,8324,8428,8541,8670,8793,8905,9025,9147,9260,9358,9471,9589,9701,9808,9808
2020-01-29,2,7,11,27,37,46,65,87,109,131,160,191,227,279,330,384,431,494,540,605,677,752,835,922,1001,1085,1160,1243,1346,1422,1502,1586,1687,1803,1925,2028,2138,2235,2342,2455,2565,2682,2782,2892,3021,3131,3234,3369,3510,3643,3781,3907,4032,4166,4303,4435,4547,4660,4783,4888,5017,5142,5267,5388,5526,5656,5779,5915,6034,6169,6290,6411,6532,6669,6800,6911,7046,7195,7332,7464,7596,7736,7872,7997,8128,8251,8380,8528,8659,8777,8895,9032,9154,9288,9397,9516,9630,9756,9904,9904
2020-01-30,5,17,32,41,49,63,92,115,147,187,220,252,291,333,393,454,532,595,671,745,835,899,987,1059,1149,1238,1343,1444,1557,1654,1761,1874,1975,2099,2238,2359,2480,2604,2728,2844,2972,3108,3229,3351,3467,3590,3711,3830,3959,4091,4204,4347,4492,4611,4731,4872,5004,5138,5290,5422,5567,5697,5844,5974,6117,6247,6378,6511,6620,6751,6875,7007,7146,7262,7397,7520,7655,7789,7917,8042,8164,8304,8425,8547,8683,8821,8942,9067,9210,9336,9475,9589,9708,9853,9977,10087,10230,10384,10497,10497
