,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-21,5,23,37,59,103,141,170,198,234,275,326,378,412,437,479,530,592,649,694,744,800,860,930,1003,1083,1152,1225,1301,1381,1465,1539,1605,1677,1764,1860,1959,2054,2169,2269,2380,2630,2719,2820,2902,2974,3079,3341,3429,3534,3642,3727,3821,3928,4030,4109,4192,4609,4700,4792,5060,5145,5228,5315,5391,5489,5576,5654,5735,5828,5918,6017,6098,6173,6239,6319,6390,6462,6535,6601,6687,6764,6844,6909,6974,7035,7106,7173,7243,7314,7387,7441,7517,7591,7654,7717,7943,8163,8230,8279,8279
2020-01-22,3,17,39,69,105,133,170,222,279,348,404,476,567,632,732,813,887,986,1065,1154,1242,1342,1444,1530,1626,1719,1806,1906,2007,2101,2349,2435,2521,2749,2859,2958,3070,3185,3316,3420,3506,3623,3737,3842,3928,4015,4123,4253,4354,4460,4589,4701,4801,5068,5310,5420,5521,5605,5691,5951,6049,6152,6405,6652,6741,6850,6934,7023,7106,7170,7404,7472,7557,7639,7706,7802,7895,7978,8063,8139,8227,8295,8367,8428,8516,8601,8669,8743,8828,8928,9012,9095,9165,9244,9336,9406,9481,9564,9795,9795
2020-01-23,3,15,24,36,47,78,103,124,156,197,240,277,324,367,403,457,506,561,621,668,723,757,817,878,948,1024,1091,1151,1228,1313,1388,1478,1552,1648,1731,1813,1887,2126,2187,2262,2349,2445,2541,2617,2685,2757,2850,2933,3011,3096,3193,3263,3327,3410,3488,3590,3679,3765,3851,3939,4041,4124,4376,4447,4528,4597,4683,4776,4852,4938,5005,5093,5175,5587,5667,5733,5793,5894,5975,6051,6120,6194,6252,6320,6396,6457,6532,6590,6646,6716,6781,6843,6897,6962,7020,7096,7325,7384,7455,7455
2020-01-24,6,14,21,30,46,68,94,121,154,184,224,253,300,341,391,440,676,719,771,849,919,989,1071,1118,1183,1242,1318,1400,1475,1540,1624,1690,1760,1824,1902,2002,2064,2146,2204,2287,2383,2485,2566,2639,2722,2826,2916,3013,3101,3185,3266,3330,3417,3508,3587,3677,3771,3858,4126,4207,4462,4541,4617,4696,4762,4850,4925,5013,5087,5169,5427,5500,5569,5644,5711,5795,5872,5932,5999,6073,6140,6206,6281,6359,6423,6516,6754,6829,6878,6935,6989,7066,7132,7213,7444,7506,7909,7965,8032,8032
2020-01-25,4,15,30,53,74,97,126,158,186,210,249,292,318,357,406,456,502,544,591,640,689,752,823,889,947,999,1070,1133,1190,1251,1531,1609,1685,1763,1819,1878,1962,2032,2104,2168,2260,2333,2413,2485,2559,2627,2693,2932,3015,3075,3145,3399,3457,3718,3779,3844,3909,3990,4064,4320,4574,4641,4904,4977,5043,5107,5169,5406,5450,5496,5731,5799,5857,5907,5958,6013,6065,6114,6158,6196,6252,6306,6368,6419,6475,6523,6582,6621,6673,6711,6754,6803,6859,6905,6955,6993,7031,7075,7305,7305
2020-01-26,9,22,46,66,83,108,137,183,220,264,298,336,375,413,465,526,576,636,690,735,787,832,897,959,1019,1256,1321,1388,1443,1504,1587,1663,1733,1807,1900,1987,2070,2170,2418,2523,2610,2701,2786,2863,2955,3051,3152,3240,3325,3423,3520,3609,3692,3793,3889,3980,4074,4158,4253,4514,4613,4709,4795,4870,4947,5023,5293,5723,5806,5891,5972,6053,6127,6184,6251,6321,6386,6454,6537,6614,6678,6741,6814,6873,6930,6994,7055,7126,7198,7266,7336,7405,7459,7513,7578,7654,7717,7784,7856,7856
2020-01-27,10,19,43,59,80,100,117,134,164,204,257,296,330,382,433,499,595,672,743,829,898,961,1028,1095,1175,1243,1307,1389,1469,1560,1653,1735,1832,1937,2044,2117,2221,2320,2415,2514,2612,2707,2798,2913,3001,3101,3181,3328,3423,3524,3632,3739,4009,4136,4223,4331,4431,4518,4622,4705,4795,4881,4968,5034,5278,5364,5587,5680,5777,5862,5947,6173,6250,6338,6422,6487,6723,6791,6861,6931,7021,7104,7171,7233,7305,7372,7594,7670,7723,7785,7853,7922,7987,8057,8113,8165,8220,8281,8359,8359
2020-01-28,5,11,19,37,47,58,81,92,121,152,187,212,241,269,304,348,381,425,465,513,577,622,675,886,949,1005,1061,1126,1174,1225,1293,1365,1598,1665,1755,1842,1899,1970,2029,2095,2174,2239,2308,2380,2440,2496,2553,2930,2993,3079,3159,3234,3338,3404,3458,3517,3581,3656,3727,3802,3872,4101,4168,4243,4305,4358,4435,4497,4579,4660,4729,4796,4850,4914,4984,5035,5110,5177,5251,5304,5528,5586,5654,5744,5811,5879,5938,6164,6399,6445,6517,6742,6801,6861,6927,6991,7066,7132,7194,7194
2020-01-29,10,40,59,80,104,134,163,196,225,250,285,313,353,393,451,511,571,630,706,764,819,902,968,1035,1105,1182,1275,1355,1440,1523,1595,1656,1734,1965,2046,2148,2241,2328,2441,2518,2599,2696,2941,3037,3113,3210,3294,3537,3598,3682,3770,3854,3927,4007,4248,4333,4590,4699,4972,5223,5317,5405,5493,5568,5637,5714,5797,5871,5953,6028,6099,6191,6266,6354,6448,6513,6583,6657,6727,6795,6871,6957,7026,7086,7163,7248,7322,7398,7471,7535,7604,7691,7768,7844,7936,8004,8081,8151,8215,8215
2020-01-30,5,14,22,31,49,62,82,98,111,142,168,190,220,243,271,308,360,412,457,502,551,608,667,730,789,845,892,944,1010,1050,1094,1172,1215,1415,1470,1693,1738,1795,1856,1916,1982,2043,2097,2146,2214,2280,2345,2416,2480,2560,2628,2686,2761,2843,2900,3136,3195,3266,3332,3394,3469,3542,3615,3678,3740,3804,3869,4097,4155,4232,4287,4353,4425,4471,4531,4595,4664,4724,4789,4847,4908,4968,5016,5082,5158,5217,5269,5341,5423,5481,5564,5628,5700,5761,5799,5865,5916,6139,6352,6352
