date,meanValue,medianValue,sumValue,stdValue,totaltx,price
2020-03-04,6.047838614246341e+18,0.0,1.490157195357113e+24,2.892083930605194e+20,663966.0,223.94
2020-03-05,6.453352221519787e+18,0.0,1.7382104208663115e+24,3.1125139479560185e+20,720114.0,224.36
2020-03-06,7.553757819930385e+18,0.0,1.8739740087573446e+24,3.771905606647503e+20,676799.0,228.46
2020-03-07,5.14955175603639e+18,0.0,1.187811056702426e+24,2.620950862569623e+20,630992.0,244.87
2020-03-08,8.315445894978545e+18,0.0,1.874559283550889e+24,4.9016900657495205e+20,662565.0,237.30
2020-03-09,1.4578526055917427e+19,0.0,3.85282744458417e+24,6.922707113974002e+20,784085.0,199.21
2020-03-10,1.0430146091956881e+19,0.0,2.627708425531135e+24,5.878073288716462e+20,760588.0,202.88
2020-03-11,9.877952195665865e+18,0.0,2.448823372922984e+24,4.837690423487679e+20,713065.0,200.61
2020-03-12,3.704284516731307e+19,0.0,9.270601731488133e+24,1.6222307578654457e+21,760781.0,194.57
2020-03-13,2.8472319028894323e+19,0.0,8.262866288419313e+24,1.4689857707719354e+21,847947.0,107.87
2020-03-14,1.2807653678115832e+19,0.0,3.18281720789519e+24,5.779945185163807e+20,681830.0,134.02
2020-03-15,1.3563697944672674e+19,0.0,3.143875291804208e+24,7.391493740654097e+20,657653.0,122.67
2020-03-16,2.301836245614256e+19,0.0,6.27190529187566e+24,1.1145118003096821e+21,784094.0,124.35
2020-03-17,1.219928009176996e+19,0.0,3.3342096404422547e+24,5.2634056102147097e+20,763100.0,111.06
2020-03-18,9.182563716289465e+18,0.0,2.776715442168901e+24,4.917361591220818e+20,768437.0,115.95
2020-03-19,1.0599094588383586e+19,0.0,3.842341373802706e+24,6.884193730522603e+20,864017.0,117.76
2020-03-20,1.153151427937173e+19,0.0,3.7833168623481645e+24,6.569141241639185e+20,822158.0,135.43
2020-03-21,4.3278910120850924e+18,0.0,1.6894658307144886e+24,2.679854673011011e+20,857503.0,133.32
2020-03-22,5.880910903978356e+18,0.0,1.7376856729964687e+24,3.789818464695363e+20,746195.0,132.59
2020-03-23,8.337895103358546e+18,0.0,2.6352751263674983e+24,4.8157900044166496e+20,801238.0,122.46
2020-03-24,1.413921436881621e+19,0.0,4.372142006340139e+24,1.0580211519445754e+21,791900.0,136.00
2020-03-25,8.126728047427103e+18,0.0,2.3147440764766127e+24,6.782542267555966e+20,765389.0,138.59
2020-03-26,7.189042687444021e+18,0.0,2.122838037089836e+24,4.0315523768373314e+20,772649.0,136.08
2020-03-27,5.780746073097578e+18,0.0,1.7166676961051748e+24,3.145787986049729e+20,748776.0,138.38
2020-03-28,7.714620075616997e+18,0.0,1.8777462410251446e+24,4.355613991917732e+20,667726.0,131.74
2020-03-29,5.390483293962058e+18,0.0,1.214265657281043e+24,2.494409481621472e+20,607984.0,131.02
2020-03-30,6.134969500686204e+18,0.0,1.6517853233340912e+24,3.323471084006161e+20,724004.0,125.24
2020-03-31,8.128415963843613e+18,0.0,2.0854914270112893e+24,8.231161091375843e+20,731749.0,132.15
2020-04-01,5.729600598821685e+18,0.0,1.4281487860609533e+24,3.2224729287731596e+20,683007.0,132.88
2020-04-02,8.448596788087429e+18,0.0,2.233851233754101e+24,4.6678177723363525e+20,720554.0,135.65
2020-04-03,8.233705935184099e+18,0.0,2.205636912210983e+24,5.837088243033443e+20,722688.0,141.29
2020-04-04,5.118272314913368e+18,0.0,1.1880124235589843e+24,2.930813494824162e+20,625952.0,141.13
2020-04-05,4.315064431616334e+18,0.0,9.680286093953668e+23,3.2631230078295795e+20,614001.0,144.03
2020-04-06,9.372459655474213e+18,0.0,2.703232931210968e+24,5.4522965383998236e+20,771300.0,142.58
2020-04-07,1.020225941738969e+19,0.0,2.819843289410162e+24,5.1049089243024576e+20,783472.0,171.07
2020-04-08,5.348405152912444e+18,2680385000000000.0,1.8314169376755351e+24,2.992372441203324e+20,830223.0,164.71
2020-04-09,5.561060373858557e+18,0.0,1.5314214889340873e+24,2.6696123941794438e+20,727502.0,173.01
2020-04-10,1.147684587696752e+19,0.0,3.0932509776065296e+24,9.209827838803071e+20,745643.0,169.67
2020-04-11,3.9973850101622477e+18,0.0,9.968718712191447e+23,2.3508533743869274e+20,680523.0,157.85
2020-04-12,4.129773274528042e+18,0.0,1.0793616728037549e+24,2.849154996954033e+20,678530.0,158.18
2020-04-13,7.361158307901665e+18,0.0,2.111128674597661e+24,4.292176198570956e+20,744306.0,158.76
2020-04-14,4.1877127308893235e+18,11694972276042.0,1.3694281278402607e+24,2.4024086589278493e+20,813972.0,156.36
2020-04-15,4.596264883451293e+18,0.0,1.3804743689493528e+24,2.8052528800583143e+20,792152.0,158.43
2020-04-16,9.653009228670824e+18,0.0,2.736454362161947e+24,4.884680125843114e+20,790334.0,152.90
2020-04-17,5.526785929002253e+18,0.0,1.6835640029055e+24,2.9177011194513945e+20,785639.0,172.32
2020-04-18,5.620394676371364e+18,0.0,1.741760310206204e+24,3.273199444069212e+20,783111.0,170.63
2020-04-19,4.932817605900603e+18,0.0,1.4408710898653795e+24,2.682451228519932e+20,741675.0,187.47
2020-04-20,8.016664357418113e+18,0.0,2.55311519789296e+24,4.810440549151198e+20,828885.0,180.12
2020-04-21,6.942210773972662e+18,0.0,2.14346311414998e+24,4.255037071050363e+20,812963.0,170.37
2020-04-22,6.577945134887992e+18,0.0,1.9796523221796407e+24,6.044218441738992e+20,790519.0,170.79
2020-04-23,6.673313406001102e+18,0.0,2.1710090304337524e+24,3.725622475809046e+20,826397.0,182.72
2020-04-24,1.0218638018633011e+19,0.0,3.408579990685866e+24,1.3180457049419256e+21,846807.0,185.48
2020-04-25,4.848689067313653e+18,0.0,1.4645271380254695e+24,2.689794262951365e+20,792299.0,187.57
2020-04-26,4.6074175763519293e+18,0.0,1.377885085548405e+24,3.096117676217695e+20,801949.0,194.01
2020-04-27,6.465699424839315e+18,0.0,2.077299911212075e+24,3.5823363608461954e+20,841193.0,197.35
2020-04-28,4.044073043386481e+18,0.0,1.3027900427805613e+24,2.2412046290486795e+20,838453.0,196.13
2020-04-29,7.776695046155128e+18,0.0,2.6849584015504684e+24,4.6023421200059485e+20,897881.0,196.55
2020-04-30,9.242298780064246e+18,0.0,3.139313142027232e+24,6.940972377427659e+20,899459.0,215.42
2020-05-01,4.459239617343093e+18,0.0,1.4609405426732054e+24,2.6992333058452917e+20,827138.0,206.23
2020-05-02,3.876492026689497e+18,0.0,1.2158539711867282e+24,2.4389400912188988e+20,765990.0,212.00
