,meanValue,medianValue,stdValue,sumValue,totaltx,inputDegree,outputDegree,price
2020-03-30,364789967.0141511,4732286.5,101282475181611.0,14356486808.702175,186301830.9298,501739,656324,6405.29
2020-03-31,361962785.11341697,4676224.0,105103495876168.0,19314269993.007675,89947515.0516,529565,681633,6428.28
2020-04-01,361120265.117744,4872904.5,101514517727249.0,21107844244.753265,168238042.6748,525989,662885,6652.87
2020-04-02,338120236.0390038,4894050.0,101564894621632.0,4016531546.366293,279129046.5117,557923,707001,6809.11
2020-04-03,347668883.89853233,4841979.0,96508014805858.0,8435613539.973819,165881487.018,504061,656311,6741.67
2020-04-04,340579100.76661867,3062856.0,86765591132203.0,7462768205.16693,95099723.0015,454315,599439,6871.69
2020-04-05,227030909.6343533,2815267.5,54474250519486.0,4016173088.3475833,61737463.0944,414559,564918,6777.44
2020-04-06,387932970.4772338,5045039.0,109029725151538.0,17581800929.13619,215734110.432,499728,663638,7343.2
2020-04-07,375818983.569139,4224737.0,116587692539769.0,22238606823.37994,180411335.9565,561148,725426,7205.55
2020-04-08,265055621.58910987,4116874.0,76463510771648.0,3436636283.188835,143615580.8898,511534,681213,7365.03
2020-04-09,383841124.0349654,3925680.0,110183513859857.0,23530172587.36737,118207885.6503,513789,674562,7293.69
2020-04-10,377566878.1020896,3932650.0,108861970128785.0,30752272899.279716,170978168.3808,507266,681480,6873.24
2020-04-11,244296198.3557552,2989121.5,60509725370737.0,3574275982.36068,59502005.484,432075,588735,6891.6
2020-04-12,214046623.178747,2871607.0,48900449391547.0,2221151097.456862,112654904.1387,400034,544583,6915.37
2020-04-13,342938542.4771887,3661015.0,98711430066634.0,28126540182.60556,170118314.503,510383,679179,6857.66
2020-04-14,257740133.45229772,4499455.0,77223841044844.0,3624771498.8326616,107004164.2425,548695,707694,6871.95
2020-04-15,281251459.67145705,4304084.0,87049858031453.0,4121919893.032138,112529486.108,569482,734635,6623.8
2020-04-16,343200873.73623955,4665097.5,110888202304179.0,6590596463.357711,256066115.0861,575930,764198,7112.27
2020-04-17,331024835.09104013,5001814.0,94133201330004.0,5775542338.068336,114895300.8069,509412,680598,7034.89
2020-04-18,211546679.45814028,3226978.0,61089180813845.0,2702027085.9236994,80410551.4416,525545,684657,7259.36
2020-04-19,219232174.81134525,2928870.0,55567244724208.0,3573240013.932246,64645648.4664,454730,608012,7130.04
2020-04-20,268251085.82974944,4250000.0,83133157507326.0,3700682994.887031,151878158.0712,564651,742692,6840.24
2020-04-21,259529797.4432921,4308482.0,80857286982850.0,3269793976.084906,90394537.9036,551208,740920,6852.52
2020-04-22,310493039.87769955,5364182.0,86478210973697.0,7416676921.906281,102205555.9641,482667,673106,7130.99
2020-04-23,280573314.85769063,5303551.5,92198635848756.0,5200229176.754415,202186228.192,609211,769538,7477.6
2020-04-24,395985219.4944863,5125778.0,126722793957406.0,18356869392.233,130187406.006,581153,753245,7507.08
2020-04-25,215828929.69739175,3950604.0,60647281758178.0,2109680395.8755465,50386100.4416,528244,659142,7549.52
2020-04-26,210045488.0223961,3510399.0,53120713966352.0,3263107911.8547945,82965485.6952,461813,603711,7699.27
2020-04-27,331156366.6337392,4841828.0,102837629250808.0,23941043752.985703,118631651.8972,561807,734745,7790.66
2020-04-28,271376123.46001375,4446133.0,88088418298997.0,3917723849.888409,102426644.0325,584563,767677,7765.33
2020-04-29,544776927.8500943,5475960.0,180016632815713.0,34283220291.472,471328360.4002,591743,777846,8777.63
2020-04-30,625714066.0266244,6446000.0,201525606387393.0,18309454317.843792,479861000.0475,585516,762682,8628.77
2020-05-01,314186580.7736045,4767412.0,106679854195612.0,5247668283.593836,209464777.158,617966,788018,8824.66
2020-05-02,191929937.4180833,3991631.0,55286378122966.0,2179939958.2202377,111964108.685,533179,676352,8973.82
2020-05-03,258606888.8461678,3386676.5,72651984924887.0,21805593321.11349,175862717.8055,536501,656004,8903.95
2020-05-04,279876298.1492015,4518588.0,91077065067415.0,4418571304.233727,186639007.4084,579054,762633,8885.93
2020-05-05,331819506.8804458,4623242.0,109539591972359.0,19759128591.30634,182897440.2792,603690,774498,9030.96
2020-05-06,304402590.4556151,5122529.5,101440336853791.0,5447834502.190228,286155701.8305,610237,777497,9170.79
2020-05-07,387475275.23397607,5368607.0,132650998050526.0,18419544226.09376,500733651.156,630047,798027,10002.48
2020-05-08,411860718.6673237,5613264.0,133533070345601.0,15800513657.828407,336643471.834,601071,759385,9821.8
2020-05-09,369338196.4593035,4061991.0,115208032959747.0,23491697875.9032,206048387.1605,581464,728187,9527.39
2020-05-10,279393910.9228921,4639509.0,79874528224191.0,3439962001.388463,536864808.2512,575904,676602,8754.46
2020-05-11,380032922.6804791,5162562.5,116512013567072.0,17150685613.29428,524377414.035,575775,734229,8617.25
2020-05-12,348546647.9812917,5019000.0,120372327613579.0,22198920869.19853,217646788.1446,624024,807411,8814.53
2020-05-13,376226572.97015655,5674500.0,111934553763508.0,16144635320.70334,235919563.5729,526372,709773,9305.93
2020-05-14,427261411.75666106,6400000.0,114608173828195.0,7074574499.126896,332519067.871,480020,646391,9790.31
2020-05-15,318741630.49024475,5714300.0,98985532090376.0,6306841735.393212,303595865.3108,564448,733297,9303.59
2020-05-16,198796033.0976436,3320816.5,59021747042558.0,3370754027.578323,116707143.649,574487,689686,9385.7
2020-05-17,245439663.67837307,4206862.5,58153492153299.0,3511020696.3865023,176082868.208,436871,565158,9669.4
2020-05-18,391021463.5442385,5100000.0,107013190056933.0,7800805872.695144,230169746.6235,507763,662871,9719.37
2020-05-19,434140965.74452525,5415550.5,118988487609328.0,16729891153.452208,228306109.2126,491114,653139,9785.74
2020-05-20,380531989.6770707,5636108.0,106361354838669.0,16582890980.907743,231513104.0482,507102,665826,9510.67
2020-05-21,328299649.50861907,5274718.0,98081490088597.0,15582358314.053156,302921371.08,568999,708089,9057.57
2020-05-22,356080582.68298966,5769176.0,99518469489990.0,6513185646.722719,137706362.7804,497710,675789,9167.26
2020-05-23,203875704.34307256,3738052.0,54922483744389.0,2357759339.782334,69573042.348,505860,631187,9178.32
2020-05-24,282876202.2854715,4247150.5,60923047686222.0,17571693482.179478,151515271.1025,408593,527267,8730.73
2020-05-25,410293923.7701158,5276019.5,108978989680428.0,25924262600.553192,151521072.3334,495670,646473,8899.66
2020-05-26,324438620.85154283,5004235.0,95609141617362.0,7865406682.712082,120113138.978,527529,700218,8842.85
2020-05-27,375502395.11573833,5214326.0,110111946841344.0,16040981925.76642,148428061.012,550158,699738,9197.54
2020-05-28,279112698.29382133,5148561.0,83783770661141.0,5017410906.751211,193513827.6855,552030,709704,9569.21
2020-05-29,372575449.7741806,5206597.0,104713075309933.0,18713668572.640915,144086661.3976,527063,678067,9425.98
2020-05-30,206784123.32659957,3265025.0,59134262531831.0,3230790589.7083173,132752538.831,548987,665441,9698.1
2020-05-31,289406653.16777813,2843535.0,74858793128337.0,20182993410.64373,99233158.4412,474097,616081,9450.84
2020-06-01,415882500.8767045,4894596.0,127606059509001.0,16677327427.228336,280975717.9806,564541,724190,10204.23
2020-06-02,505031118.87344486,6259039.0,153973382491017.0,14546681287.655334,429398121.4779,567815,729561,9525.57
2020-06-03,357179335.29379696,4988920.0,112174670504364.0,9390202331.85433,128440438.9324,591743,741116,9658.04
2020-06-04,362784422.6647095,4875989.0,115050186744082.0,13524022334.72435,183077760.7168,587051,749122,9794.56
2020-06-05,324583752.94610405,4276700.0,106632903685360.0,12454947625.049784,139993515.4125,599421,776635,9623.75
2020-06-06,173765103.64687893,2829334.0,49205411929894.0,2050650422.656045,74040583.5477,503566,669983,9670.43
2020-06-07,180033807.53644657,2727557.5,45746230427396.0,2295012542.326789,129391452.868,465310,606066,9753.85
2020-06-08,309572619.2448314,4109166.0,97973232965985.0,8052594742.021593,111353754.5815,580622,752189,9782.59
2020-06-09,269100466.10068244,4685596.5,88249345053990.0,6511765388.499259,153220784.178,599501,780603,9775.15
2020-06-10,367567480.347618,4577604.0,119334825737138.0,10440072527.945614,158586968.0719,590985,776341,9892.13
2020-06-11,301148853.8231824,4604600.0,100457535807191.0,13963257523.001566,321867038.6074,628773,798979,9286.42
2020-06-12,259286101.73538464,4658125.0,81966300338895.0,3919751046.7379737,132333533.7363,584127,757743,9459.97
2020-06-13,207077784.76138264,3175759.0,58356797601390.0,3651736593.0120425,51803750.58,507219,673389,9473.5
2020-06-14,174311988.6250041,2308127.0,47840099590121.0,2244780507.5961766,63632383.6098,469915,654111,9330.07
2020-06-15,342154214.80773854,5008674.0,100994001739015.0,14630544337.41644,244968165.021,546894,716441,9426.7
2020-06-16,397671661.3687602,4894998.0,135812825790659.0,15316002326.938774,138860025.7,625468,811954,9526.0
2020-06-17,279715758.8943563,4988639.0,93316533756264.0,13588546512.825468,124106956.1473,607712,789348,9454.81
2020-06-18,277471764.8202328,5321200.0,77925447903879.0,14950043726.99209,74041735.8065,502777,682868,9380.03
2020-06-19,420152135.92558587,5035875.0,145873460376276.0,22092992896.55877,109732841.856,639281,817041,9300.15
