,BTC Price,ETH Vol., LTC Vol.,XRP Vol.,DOGE Vol.,USDT Vol.,BNB Vol.,ADA Vol.,BTC Vol.,total Vol.
67,8887.8,24760000.0,11830000.0,4019999999.9999995,2580000000.0,2300000.0,3470000.0,522110000.0,1110000.0,7165580000.0
68,8035.8,30270000.0,16440000.000000002,4530000000.0,2840000000.0,3880000.0,4050000.0,723820000.0,1540000.0,8150000000.0
69,7933.0,21870000.0,9850000.0,3080000000.0,2410000000.0,2940000.0,3450000.0,599100000.0,1200000.0,6128410000.0
70,7892.1,21260000.0,10460000.0,2870000000.0,2060000000.0,3240000.0,2580000.0,604500000.0,1100000.0,5573140000.0
71,7935.2,53510000.0,31690000.0,9820000000.0,6660000000.0,12150000.0,8800000.0,2200000000.0,3220000.0,18789370000.0
72,4815.2,60700000.0,40420000.0,13830000000.0,6490000000.0,9850000.0,11660000.0,2570000000.0,4170000.0,23016800000.0
73,5589.4,26830000.0,14030000.0,5240000000.0,2790000000.0,2650000.0,5350000.0,707870000.0,1690000.0,8788420000.0
74,5182.9,26240000.0,12730000.0,4760000000.0,2760000000.0,8980000.0,6420000.0,620440000.0,1610000.0,8196420000.0
75,5366.4,40250000.0,20030000.0,7150000000.0,3280000000.0,7650000.0,5820000.0,1160000000.0,2550000.0,11666300000.0
76,5030.2,27090000.0,14090000.0,4790000000.0,2470000000.0,4770000.0,5100000.0,686530000.0,1890000.0,7999470000.0
77,5260.7,25800000.0,13480000.0,4120000000.0,2580000000.0,2330000.0,4450000.0,531440000.00000006,1800000.0,7279300000.0
78,5359.2,33780000.0,16870000.0,4920000000.0,77340000000.0,6940000.0,5850000.0,852990000.0,2180000.0,83178610000.0
79,6171.6,38740000.0,18670000.0,6380000000.0,37630000000.0,7230000.0,6970000.0,1130000000.0,2220000.0,45213830000.0
80,6205.6,27000000.0,11980000.0,3740000000.0,37630000000.0,2110000.0,5810000.0,651880000.0,1640000.0,42070420000.0
81,6186.9,25250000.0,11160000.0,3270000000.0,37990000000.0,2290000.0,4560000.0,571390000.0,1480000.0,41876130000.0
82,5822.0,28620000.0,12430000.0,3960000000.0,37190000000.0,4910000.0,5290000.0,606340000.0,1880000.0,41809470000.0
83,6468.8,27100000.0,9970000.0,3620000000.0,35900000000.0,4070000.0000000005,4630000.0,495080000.0,1730000.0,40062580000.0
84,6744.8,24150000.0,9140000.0,3330000000.0,36150000000.0,4220000.0,3610000.0,450640000.0,1520000.0,39973280000.0
85,6677.9,17710000.0,8580000.0,3360000000.0,35680000000.0,2640000.0,3440000.0,394150000.0,1180000.0,39467700000.0
86,6725.5,18180000.0,9220000.0,5040000000.0,36480000000.0,3120000.0,2780000.0,465020000.0,1160000.0,42019480000.0
87,6373.4,21030000.0,11480000.0,4510000000.0,38200000000.0,4430000.0,2480000.0,511500000.0,1260000.0,43262180000.0
88,6233.2,16329999.999999998,7790000.0,3280000000.0,37160000000.0,2460000.0,2310000.0,357140000.0,916170.0,40826946170.0
89,5890.4,20710000.0,17050000.0,3270000000.0,36560000000.0,3930000.0,4240000.0,397030000.0,1430000.0,40274390000.0
90,6391.1,17300000.0,20820000.0,3250000000.0,36220000000.0,4200000.0,5120000.0,307350000.0,1050000.0,39825840000.0
91,6412.4,19450000.0,21160000.0,3360000000.0,37270000000.0,5060000.0,4360000.0,409240000.0,1400000.0,41090670000.0
92,6638.8,29420000.0,23080000.0,4050000000.0,35610000000.0,5930000.0,5330000.0,534580000.00000006,1740000.0,40260080000.0
93,6799.9,23340000.0,14520000.0,3190000000.0,36040000000.0,3540000.0,5030000.0,371030000.0,1350000.0,39648810000.0
94,6735.9,19750000.0,12540000.0,2550000000.0,35420000000.0,2060000.0,4840000.0,320800000.0,1050000.0,38331040000.0
95,6857.5,18170000.0,10590000.0,2100000000.0,35540000000.0,2660000.0,4280000.0,209560000.0,842330.0,37886102330.0
96,6772.8,37890000.0,18090000.0,3810000000.0,34870000000.0,6790000.0,5580000.0,557450000.0,1530000.0,39307330000.0
97,7332.3,35790000.0,12250000.0,3980000000.0,34259999999.999996,5740000.0,4720000.0,603010000.0,1320000.0,38902830000.0
98,7185.6,24310000.0,11650000.0,2740000000.0,33430000000.0,3770000.0,4610000.0,436340000.0,983940.0,36651663940.0
99,7361.1,20660000.0,11470000.0,2360000000.0,33080000000.0,4390000.0,4630000.0,306330000.0,963550.0,35788443550.0
100,7289.0,28350000.0,16450000.0,2740000000.0,35790000000.0,6960000.0,4000000.0,491590000.0,1370000.0,39078720000.0
