,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
161,9768.8,243.82,45.88,0.20132,0.002562,1.0006,17.34,0.082906
162,9878.9,247.79,46.657,0.20271,0.002585,1.0005,17.41,0.083561
163,9283.7,230.72,43.262,0.18837,0.002456,0.9986,16.21,0.075265
164,9466.5,237.55,44.742,0.19304,0.002523,0.9995,16.64,0.07947
165,9470.7,238.23,45.107,0.19241,0.002532,0.9998,16.81,0.079043
166,9345.5,231.99,44.047,0.19029,0.002482,0.9994,16.56,0.076414
167,9425.6,230.92,43.752,0.19242,0.002477,1.0003,16.39,0.078236
168,9523.6,235.37,43.868,0.19238,0.002485,0.9999,16.44,0.079238
169,9464.6,233.85,44.08,0.19318,0.002481,0.9989,16.39,0.08345
170,9390.3,231.34,43.444,0.18978,0.002454,0.9988,16.15,0.081827
171,9314.0,229.11,42.887,0.18727,0.002453,0.9986,15.91,0.079944
172,9358.8,228.87,43.588,0.18793,0.002458,0.9994,16.07,0.079525
173,9296.5,228.11,42.996,0.18606,0.002449,0.999,15.98,0.078389
174,9683.9,243.24,44.292,0.18942,0.002472,1.0002,16.5,0.083578
175,9624.6,243.20,44.167,0.18886,0.002473,0.9997,16.38,0.08278
176,9300.8,234.75,42.625,0.18352,0.002425,0.9989,15.99,0.08255
177,9247.5,232.57,42.336,0.18155,0.002408,0.9989,15.89,0.081655
178,9160.5,229.72,43.068,0.18249,0.002358,0.9992,15.76,0.080633
179,9008.4,221.07,41.077,0.17514,0.002324,0.999,15.12,0.077387
180,9122.8,225.09,41.396,0.17687,0.002315,0.9994,15.38,0.080331
181,9186.0,227.88,41.842,0.17724,0.002305,0.9994,15.49,0.083892
182,9135.9,225.61,41.194,0.17531,0.002314,0.9998,15.39,0.083036
183,9229.9,230.96,41.728,0.17644,0.002327,1.0005,15.8,0.096851
184,9085.0,226.42,41.05,0.17478,0.002322,1.0001,15.36,0.092948
185,9067.1,225.09,41.211,0.17634,0.002322,1.0,15.28,0.096561
186,9134.3,229.09,42.077,0.17808,0.002306,1.0003,15.55,0.100002
187,9080.4,227.95,41.657,0.17704,0.002301,1.0004,15.5,0.098262
188,9338.8,241.56,44.097,0.18875,0.002618,1.0002,16.3,0.105087
189,9256.3,239.26,43.364,0.18512,0.003121,1.0001,16.81,0.11766
190,9430.1,246.93,45.333,0.20545,0.004743,1.0003,17.28,0.129927
191,9239.0,242.01,44.367,0.20261,0.004331,0.9998,16.84,0.124008
192,9285.8,241.21,44.307,0.19898,0.003524,0.9995,17.33,0.1184
193,9234.2,239.20,44.696,0.20114,0.003808,0.9998,17.61,0.125197
194,9300.5,242.84,44.737,0.20119,0.003635,1.0001,18.31,0.12691
195,9243.1,239.75,43.943,0.19872,0.00316,0.9994,18.35,0.124416
196,9253.6,240.49,43.896,0.19911,0.003294,0.9998,18.07,0.132405
197,9198.7,238.62,43.35,0.19724,0.003094,0.9989,17.65,0.130592
198,9135.4,233.65,42.081,0.19442,0.002981,0.9996,17.15,0.125998
199,9155.8,232.77,41.892,0.19448,0.003055,0.9998,17.06,0.122233
200,9170.1,235.72,42.468,0.19988,0.003455,1.0003,17.15,0.122671
201,9208.1,239.03,42.633,0.19954,0.003381,1.0005,18.03,0.123963
